date,lambda_t,lambda_w,E_Rw,mean_K,whale_threshold
2024-06-28,0.00026733675813795467,1.92817397682412e-06,0.2892365691500204,3.125,1.1217513508499797
2024-06-29,0.0002526374570580182,1.9281568748433374e-06,0.05664486088000531,3.125,0.8423963551199947
2024-06-30,0.00023739979540242294,1.9272204470380548e-06,0.06213455621999977,3.125,0.5911038097800002
2024-07-01,0.00022516417836985797,1.9274559547402503e-06,0.06643084800000162,3.125,0.5863191299999984
2024-07-02,0.0002157452716871926,1.928281800644972e-06,0.10353223437999674,3.125,0.5397553816200032
2024-07-03,0.00021052698503754778,1.927604569656497e-06,0.10369201354999873,3.125,0.5395956024500013
2024-07-04,0.00020011695938401656,1.9284193864772292e-06,0.10882797241999909,3.125,0.5327777575800009
2024-07-05,0.00019225371120265642,1.928081778431783e-06,0.10885870151999977,3.125,0.5327470284800002
2024-07-06,0.00018386191470165755,1.9286224544112226e-06,0.05816164608000043,3.125,0.5172013259199996
2024-07-07,0.00017704436341676894,1.928730328397198e-06,0.08433810411999614,3.125,0.48498122988000386
2024-07-08,0.0001742567317782143,1.9280884699538262e-06,0.0846172743999966,3.125,0.4847020596000034
2024-07-09,0.0001728622896720341,1.9281903355244004e-06,0.07166904501001678,3.125,0.5147517529899832
2024-07-10,0.00016928222862761785,1.9288196125464316e-06,0.07112714264998851,3.125,0.5152936553500115
2024-07-11,0.00016489424185329806,1.9280765739467497e-06,0.07571317816000428,3.125,0.4838335298399957
2024-07-12,0.00016083054673453112,1.9300145831901905e-06,0.07379153671000865,3.125,0.38959365928999135
2024-07-13,0.00015768923834759738,1.9287905942912426e-06,0.07497700158998061,3.125,0.3884081944100194
2024-07-14,0.0001537210863362521,1.927604569656497e-06,0.07561912840002155,3.125,0.38776606759997845
2024-07-15,0.0001517226859673542,1.928371786995138e-06,0.0766564101700083,3.125,0.3867287858299917
2024-07-16,0.00015032204404323162,1.9287429764824512e-06,0.07808884689998563,3.125,0.38529634910001437
2024-07-17,0.00014720859162990754,1.9270830322266097e-06,0.07808884689998563,3.125,0.38529634910001437
2024-07-18,0.00014430009579571808,1.928410461395344e-06,0.07769369193999498,3.125,0.385691504060005
2024-07-19,0.0001414797019259145,1.9288077075155993e-06,0.08488726956000008,3.125,0.3639070804399999
2024-07-20,0.0001382554584378155,1.9303864054467784e-06,0.08239842381000237,3.125,0.3681747521899976
2024-07-21,0.00013524760740871871,1.9284297991771775e-06,0.08259409467000176,3.125,0.36797908132999824
2024-07-22,0.00013293234902688698,1.9298991164535867e-06,0.08251404750000166,3.125,0.36805912849999833
2024-07-23,0.0001312588219131794,1.9286782497939206e-06,0.08250515336999983,3.125,0.36806802263000016
2024-07-24,0.00012857291086651248,1.9284030238902135e-06,0.08217607055999751,3.125,0.3683971054400025
2024-07-25,0.00012691583389788552,1.9278959213819468e-06,0.08195371731000076,3.125,0.36861945868999924
2024-07-26,0.0001240311806589301,1.928229746260391e-06,0.09752183042999613,3.125,0.31120446757000386
2024-07-27,0.0001218969584378207,1.928997461439341e-06,0.09733804210000424,3.125,0.31138825589999575
2024-07-28,0.00011967647318165142,1.928780921733542e-06,0.09752183042999613,3.125,0.31120446757000386
2024-07-29,0.00011539235622418934,1.9290480687913972e-06,0.07802685823999798,3.125,0.337519921760002
2024-07-30,0.00011338406087544228,1.928830773646308e-06,0.08486479623999553,3.125,0.33068198376000446
2024-07-31,0.00011134049660699582,1.9283911240013345e-06,0.08379777700000922,3.125,0.33174900299999077
2024-08-01,0.00010990108750486368,1.928124902388677e-06,0.08445831272000519,3.125,0.3310884672799948
2024-08-02,0.00010793114651332307,1.9283650935064236e-06,0.08359453524001402,3.125,0.33195224475998597
2024-08-03,0.00010683359117000006,1.928115980032431e-06,0.08461074403999001,3.125,0.33093603596001
2024-08-04,0.00010496678613762471,1.928651467607334e-06,0.09773064099999723,3.125,0.29563251100000276
2024-08-05,0.00010447415273474151,1.928917090514049e-06,0.09719393629999945,3.125,0.29616921570000054
2024-08-06,0.00010446074407338243,1.9279509313352565e-06,0.09690258231999588,3.125,0.2964605696800041
2024-08-07,0.00010252889612792853,1.929610137708557e-06,0.09641188087999353,3.125,0.29695127112000647
2024-08-08,0.00013682495847777424,1.9286648586076505e-06,2.668015285399917,3.125,8.012935346600083
2024-08-09,0.0001366373179106262,1.9283204714357888e-06,2.6726025273199823,3.125,8.008348104680017
2024-08-10,0.000135510930390436,1.929718122214452e-06,2.6706911765199393,3.125,8.01025945548006
2024-08-11,0.00013398388456641128,1.92633316702657e-06,2.665530529359932,3.125,8.015420102640068
2024-08-12,0.0001334427856389239,1.9281167235589642e-06,2.6617078277600217,3.125,8.019242804239978
2024-08-13,0.00013330423539225037,1.92817397682412e-06,2.6605610172799614,3.125,8.020389614720038
2024-08-14,0.00013211842330018294,1.9286187348338243e-06,2.6573117209199952,3.125,8.023638911080004
2024-08-15,0.00013151182809051942,1.9283085725657227e-06,2.6538712894799903,3.125,8.02707934252001
2024-08-16,0.00013051263641282695,1.9283554252158698e-06,2.654062424560029,3.125,8.02688820743997
2024-08-17,0.00012937989887036082,1.929292212141885e-06,2.655400370119954,3.125,8.025550261880046
2024-08-18,0.00012841786369580569,1.928229002646687e-06,2.65864966647992,3.125,8.02230096552008
2024-08-19,0.00012809827946902512,1.9270057914232055e-06,2.664765989039949,3.125,8.01618464296005
2024-08-20,0.00012867477750594646,1.9287935704823605e-06,2.6659127995200094,3.125,8.01503783247999
2024-08-21,0.0001280204145518553,1.927520599412646e-06,2.664957124119988,3.125,8.015993507880012
2024-08-22,0.00012904095452706709,1.9281427473489e-06,2.6678241503200506,3.125,8.013126481679949
2024-08-23,0.00012899594148123574,1.928893278192704e-06,2.672220257160077,3.125,8.008730374839923
2024-08-24,0.0001280659261138387,1.9291425925747303e-06,2.6777631744799897,3.125,8.00318745752001
2024-08-25,0.00012711165904447837,1.928040886806262e-06,2.68483517244004,3.125,7.9961154595599595
2024-08-26,0.0001272122047064587,1.9287184244684933e-06,2.6878933337199675,3.125,7.993057298280032
2024-08-27,0.00012732323817291692,1.9281977713890156e-06,2.6833060918000764,3.125,7.997644540199923
2024-08-28,0.00012666084421760656,1.927727937442915e-06,2.6777631744799897,3.125,8.00318745752001
2024-08-29,0.000126801983483154,1.928276595080041e-06,2.6783365797199337,3.125,8.002614052280066
2024-08-30,0.0001266404264651144,1.928606832282564e-06,2.6766163639999294,3.125,8.00433426800007
2024-08-31,0.00012588646867196056,1.9289833216244048e-06,2.6726025273199823,3.125,8.008348104680017
2024-09-01,0.00012485790656505954,1.9283702995491856e-06,2.6743227430399847,3.125,8.006627888960015
2024-09-02,0.00012456980817746025,1.928446162218577e-06,2.6697355011199195,3.125,8.01121513088008
2024-09-03,0.00012494795694446373,1.928182156139563e-06,2.6685886906400333,3.125,8.012361941359966
2024-09-04,0.00012423759346393584,1.9282245409765067e-06,2.670117771279997,3.125,8.010832860720003
2024-09-05,0.0001242911261727228,1.929217027269483e-06,2.664765989039949,3.125,8.01618464296005
2024-09-06,0.00012455817100672932,1.9271751351238846e-06,2.6643837188800457,3.125,8.016566913119954
2024-09-07,8.830469037527814e-05,1.9282609785538816e-06,0.24826535306999586,3.125,0.3455092649300041
2024-09-08,8.65687827439231e-05,1.9284669883092474e-06,0.24789070271000474,3.125,0.34588391528999524
2024-09-09,8.660451356216395e-05,1.9272650182126545e-06,0.2477970401199978,3.125,0.34597757788000216
2024-09-10,8.664184395253691e-05,1.9285785643121166e-06,0.24795760455999405,3.125,0.3458170134400059
2024-09-11,8.591103197211988e-05,1.928191822692735e-06,0.24809140825999693,3.125,0.34568320974000305
2024-09-12,8.623820985413217e-05,1.9291113317157094e-06,0.24793084382000075,3.125,0.34584377417999923
2024-09-13,8.749765295560024e-05,1.9283115472694724e-06,0.24736395631999644,3.125,0.34641066168000356
2024-09-14,8.820292050426693e-05,1.9280386564038455e-06,0.19083577259000006,3.125,0.33698525540999996
2024-09-15,8.80247018220284e-05,1.9281947970362874e-06,0.19084796671999998,3.125,0.33697306128000004
2024-09-16,8.83609198962305e-05,1.9270815467681495e-06,0.1908385866199998,3.125,0.3369824413800002
2024-09-17,8.89828652104455e-05,1.9284632693314943e-06,0.19085265677000005,3.125,0.33696837122999995
2024-09-18,8.86674091246112e-05,1.927837941315842e-06,0.19084140065000033,3.125,0.3369796273499997
2024-09-19,8.835605681270879e-05,1.9280505519430315e-06,0.19084984274000036,3.125,0.33697118525999964
2024-09-20,8.812903985465326e-05,1.9282892372150566e-06,0.1908667269200004,3.125,0.33695430107999963
2024-09-21,8.864218667741277e-05,1.928127132990641e-06,0.11162729247999889,3.125,0.3302508815200011
2024-09-22,8.94506127494261e-05,1.9277821945409834e-06,0.11527992660000061,3.125,0.3260967553999994
2024-09-23,9.182981874619224e-05,1.927985871719532e-06,0.4143316710400029,3.125,0.3340054009599971
2024-09-24,9.587038833892e-05,1.927986615145723e-06,0.49744854020003915,3.125,0.5218553037999609
2024-09-25,9.906222187053633e-05,1.9276328090814637e-06,0.49555237790003603,3.125,0.5237514660999639
2024-09-26,0.00010614282294705943,1.928168771841332e-06,0.42491872708003153,3.125,0.6127223389199685
2024-09-27,0.00012084071341058362,1.9288144040773593e-06,0.3206539118399754,3.125,0.8983003381600246
2024-09-28,0.0001348690073140934,1.9282118996897894e-06,0.35172459734993433,3.125,0.8672296526500657
2024-09-29,0.0001415156759075895,1.928272133189613e-06,0.354187187699988,3.125,0.864767062300012
2024-09-30,0.00014884896684781184,1.928170258976404e-06,0.354187187699988,3.125,0.864767062300012
2024-10-01,0.00015640406894474056,1.928696848972236e-06,0.355008051150006,3.125,0.863946198849994
2024-10-02,0.00017359259866890265,1.9293502797172034e-06,0.6851858708599344,3.125,2.3950047631400655
2024-10-03,0.0001940514434326336,1.928809939697686e-06,0.5339648056600133,3.125,2.5740391143399868
2024-10-04,0.00020093950233420618,1.927980667752248e-06,0.5338122341199825,3.125,2.5741916858800176
